date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:47	340/340	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20May%202021%2005:04:47%20GMT	http://localhost:8011/techsoft	C:/My%20Web%20Sites/new/localhost_8011/techsoft.0.delayed	(from )
10:34:50	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2025%20May%202021%2005:04:49%20GMT	http://localhost:8011/robots.txt		(from )
10:34:56	139681/139681	---MC-	200	added ('OK')	text/html	date:Tue,%2025%20May%202021%2005:04:49%20GMT	http://localhost:8011/techsoft/	C:/My%20Web%20Sites/new/localhost_8011/techsoft/index.html	(from )
10:35:03	64155/64155	---M--	200	added ('OK')	text/css	etag:%22fa9b-5c2e7cd60e96a%22	http://localhost:8011/techsoft/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.4.4	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-content/themes/astra/assets/css/minified/frontend.minedb1.css	(from http://localhost:8011/techsoft/)
10:35:03	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5c2e7cd63a4ac%22	http://localhost:8011/techsoft/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost:8011/techsoft/)
10:35:06	1973/1973	---M--	200	added ('OK')	application/rss+xml	etag:%2229bc2e88230fd48746b63540710d3532%22	http://localhost:8011/techsoft/feed/	C:/My%20Web%20Sites/new/localhost_8011/techsoft/feed/index.html	(from http://localhost:8011/techsoft/)
10:35:06	3412/3412	---M--	200	added ('OK')	text/css	etag:%22d54-5c2e7cd6100da%22	http://localhost:8011/techsoft/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.4.4	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-content/themes/astra/assets/css/minified/menu-animation.minedb1.css	(from http://localhost:8011/techsoft/)
10:35:08	1676/1676	---M--	200	added ('OK')	application/rss+xml	etag:%225c4842f8929e6d97641a2377d94bf3b1%22	http://localhost:8011/techsoft/comments/feed/	C:/My%20Web%20Sites/new/localhost_8011/techsoft/comments/feed/index.html	(from http://localhost:8011/techsoft/)
10:35:08	58171/58171	---M--	200	added ('OK')	text/css	etag:%22e33b-5bf567a917900%22	http://localhost:8011/techsoft/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-includes/css/dist/block-library/style.min9f31.css	(from http://localhost:8011/techsoft/)
10:35:09	3276/3276	---M--	200	added ('OK')	text/css	etag:%22ccc-5c2fb001f8885%22	http://localhost:8011/techsoft/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=4.9.1	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style5859.css	(from http://localhost:8011/techsoft/)
10:35:13	17307/17307	---M--	200	added ('OK')	text/css	etag:%22439b-5c2e7cd607ff0%22	http://localhost:8011/techsoft/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=3.4.4	C:/My%20Web%20Sites/new/localhost_8011/techsoft/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.minedb1.css	(from http://localhost:8011/techsoft/)
